,1,2,3,4,5,6,7,,1,44,45,45,8,9,10,11,12,13,14,15,16,17,18,17,,16,16,17,19,48,19,19,20,2,,,21,22,23,38,24,31,35,35,24,24,,,33,30,32,43,47,47,25,25,25,25,25,25,25,34,40,40,26,27,28,41,,41
Valve,1 7300313600XTZ2A,1/2 9FB3600XTB,"2"" 7380313600XTZ2",1 7300313600XTZ2A,1 7300313600XTZ2A,1/2 9FB3600XTB,1 7300313600XTZ2A,2 7300313600XTZ2,1 7300313600XTZ2,1/2 9FA3600XTB,1 9FB3600XTB,1 7380313600XTZ2,2 333600MLC,2 332236MLC,11/2 333600MLC,11/2 332236MLC,1 333600MLC ,1 332236MLC,3/4 333600MLC,3/4 332236MLC,1/2 333600MLC ,1/2 332236MLC ,1/4 333600MLC ,1/4 332236MLC ,1 3C3600MTA3,1/2 333600RLC BOX OF 10,3/8 333600RLC BOX OF 10,3 6FR3600MTC,2 730S313600XTZ2,1 7300L1312273XTZ1C48,1 7150313600XTZ2A,1 730SC312273XTZ1,3/4 7150313600XTZ2A,1 4DXEU0013600XTB2,1/2 4AB22HBDHB1,1 4C22HBDHB1,1/2 9NB3600XT,,,,,,,,,,,,,,,,,,10 830WC112271XZC,10 815L113600TTC,8 815L113600TTC,4 815L113600TTC,6 830WC112271XZ,4 F815W3122HBAEC,4 815W1122HBTTC,,,,,,,,,
Actuator,VPVL100SR6BD,VPVL051SR6BD,VPVL300SR6BD,VPVL100SR6BD,VPVL100SR6BD,VPVL051SR6BD,VPVL100SR6BD,VPVL300SR6BD,VPVL100SR6BFOD,VPVL051SR6BLXD,VPVL100SR6BLXD,VPVL100SR6BFOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGR10/QA,MGR7/QA,MGR7/QA,MGR7/QA,M7/Q,WSH-36,WSH-36,ADCWX150U2I1-UP,VPVL250SR4/5B,"NF8327B012, 24VDC",,,,,,
Linkage,LK-1869,LK1878,LK-1873,LK-1869,LK-1869,LK1878,LK-1869,LK-1873,LK-1869,LK1877,LK-1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LK-1728,LK-1723,LK-1722,LK-1719,LK 1722,,,,,,,,,,,
LD,LD-99,LD-98,,,LD-99,LD-98,LD-99,,,,,LD99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limit Switch,QX35K05NDM,QX35K05NDM,,,QX35B02NDM,QX35B02NDM,,QX33K05SDM,QX33K05SDM,,,QX4GK05SDM,,,,,,,,,,,,,,,,,,,,,,,,,,QX33B02SDM,QX33K05SDM,QX4GK05SDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioner,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,ND9206HE1T-A3-DS02,ND9206HE2T−A3,ND9206HE1T/D33−A3/DS04,ND9206HE2T/D33−A3/DS04,ND9206HE1T-KA3,ND9206HE2T-KA3Y,ND9203HE1T-KA3,ND9203HE2T-KA3Y,ND9206HE1T/D33−KA3/DS04,ND9203HE1T/D33-KA3,Y-NDX2512TG-EN1N0000,ND9203HE1T-A3Y,SG9215HX2/102,ND9106HXT-DS02-A3Y-KS-CE07,,,,,,,,,,,,,,,,
Linkage,ST970156,ST970156,,,ST970156,ST970156,,ST951113 ,ST951112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H146226 (linkage to Valtek),,,,,,,,,,,,,,,,,,,
Valve Repair Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RKN-359XT,RKN-356XT,RKN-354XT,RKW-358XZ,H026195 (SERVICE KIT FOR ACTUATOR B1JU8),H048586_Spool Valve 03 (ND9)
Ormat PN,955.070.085.1,955.070.086.1,955.071.676.1,955.072.575.1,955.070.092.1,955.070.093.1,,955.074.682.1,955.074.680.1,955.071.674.1,955.071.675.1,955.073.266.1,955.071.471.1,"955.073.129.1, 955.073.861.1","955.071.198.1, 955.071.375.1","955.074.285.1, 955.074.814.1","955.071.374.1, 955.070.741.1, 955.070.812.1, 955.071.008.1, 955.071.364.1, 955.073.215.1, 960.070.741.1   ","955.070.841.1, 960.070.841.1, 955.073.089.1","955.071.373.1, 955.071.363.1, 955.074.758.1 ",955.070.840.1,"955.071.839.1, 955.071.365.1, 960.071.839.1 ","955.070.839.1, 955.074.813.1",955.071.085.1,,955.073.189.1,,,955.075.005.1,955.075.028.1,,955.071.924.1,,"955.071.268.1, 955.071.310.1, 955.072.267.1",,,,"955.071.278.1, 955.071.277.1",955.070.409.1,955.070.406.1,955.070.308.1,,,,,955.070.403.1,955.070.097.1,955.074.601.0,955.070.031.1,955.070.293.1,"955.071.472.1, 955.075.272.1",,,,955.070.282.1,,,,,,,,,,955.072.798.1,955.070.357.1,955.070.358.1,955.070.359.1,,,955.073.532.1
Customer,Ormat,Ormat,Ormat,Ormat,Ormat,Ormat,,Ormaturk,Ormaturk,OrPower,OrPower,Ormat,,Ormat,,Ormat,Ormat,Ormat,Ormat,Super Gas,Ormat,Ormat,Ormat,Super Gas,Ormat,IEC,IEC,Ormat,ONI,ICL,Ormat,Adama,,Adama,IEC,IEC,Ormat,Ormat,Ormat,Ormat,Raphael,Raphael,Raphael,Raphael,Ormaturk,Ormat,Ormaturk,Ormat,Ormat,Ormat,Magyar,OPC,IEC,Ormat,Adama,Oriayn,Oriayn,Oriayn,Adama,PEI,IEC,Freaman,Adama,Ormat,OrPower,OrPower,OrPower,Bazan,Bazan,Ormat
Customer PN,955.070.085.1,955.070.086.1,955.071.676.1,,955.070.092.1,955.070.093.1,,955.074.682.1,955.074.680.1,955.071.674.1,955.071.675.1,955.073.266.1,,955.073.129.1,,955.074.814.1,,,,110110,955.071.839.1,,,110068,955.073.189.1,4290565,4233995,955.075.005.1,955.075.028.1,6/718/822/500,,1933724140,,1930524140,2714319,286A6199P003,955.071.278.1,955.070.409.1,955.070.406.1,955.070.308.1,MTZ9206−130,MTZ9206NI−130,MTZ9206LSE−130,MTZ9206LSNI−130,955.070.403.1,955.070.097.1,955.074.601.0,955.070.031.1,955.070.293.1,955.071.472.1,Y-NDX2512TG-EN1N0000,,5262700,955.070.282.1,1951224423,BF20-10,1000100001,BF20-4,1951224343,17310,2661486,,5813540110,955.072.798.1,955.070.357.1,955.070.358.1,955.070.359.1,36JM8852050,36JM2100800,955.073.532.1
PO REF,AJ19-0805,AJ19-0805,AJ19-0805,AJ19-0703,AJ20-0102,AJ19-1205,,AJ18-0703,AJ18-0703,AJ19-1001,AJ19-1001,AN21-0704,,AJ19-0708,,AJ20-0305,AJ19-0601,AJ19-0607,AJ19-0607,AJ19-0803,AJ19-0506,AJ19-0607,AJ19-0607,AJ20-0204,AJ20-0702,AJ19-0807,AJ19-0807,AJ20-0703,AJ19-0402,AJ-1203,AJ19-0601,AJ18-1204,,AJ19-0809,AN20-1003,AJ20-0303,AJ19-0607,AJ19-0506,AM19-1101,AM19-1101,AN18-0601,AM19-0101,AM19-0403,AN21-0604,AJ18-0703,AN20-1107,AJ18-0703,AN21-0701,AM19-1101,AM18-0602,AM19-0301,AN20-0503,AN20-0508,AN21-0201,AJ19-0906,AN21-0503,AN20-1102,AN21-0503,AJ19-0905,AJ19-0501,AJ19-0704,AJ19-0706,AJ19-0809,AJ21-0203,AJ19-1001,AJ19-1001,AJ19-1001,AJ19-0901,AN20-1207,AN20-0902
From Stock,,,,,,V,,,,,,,,V,,V,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
